"product Name",Total_Sales,Total_profit,Margin_pct
"Apple Smart Phone, Full Size",86935.77860000002,5921.578600000001,6.81
"Cisco Smart Phone, Full Size",76441.53059999998,17238.5206,22.55
"Motorola Smart Phone, Full Size",72341.369,17352.619,23.99
"Nokia Smart Phone, Full Size",65797.60549999999,8229.005499999997,12.51
"Canon imageCLASS 2200 Advanced Copier",61599.824,25199.928,40.91
"Hon Executive Leather Armchair, Adjustable",54704.819099999986,5932.019100000004,10.84
"Office Star Executive Leather Armchair, Adjustable",50160.436,4673.415999999998,9.32
"Harbour Creations Executive Leather Armchair, Adjustable",49980.162000000004,10526.302,21.06
"Samsung Smart Phone, Cordless",48653.46000000001,-198.09000000000037,-0.41
"Nokia Smart Phone, with Caller ID",47622.22170000001,9618.691700000001,20.2
